"p","x","q","y","cond","id"
20,500,60,100,"Positive",132
20,500,80,100,"Positive",133
20,500,100,100,"Positive",134
40,500,60,100,"Positive",135
40,500,80,100,"Positive",136
40,500,100,100,"Positive",137
60,500,80,100,"Positive",138
60,500,100,100,"Positive",139
80,500,100,100,"Positive",140
20,500,40,200,"Positive",141
20,500,60,200,"Positive",142
20,500,80,200,"Positive",143
20,500,100,200,"Positive",144
40,500,60,200,"Positive",145
40,500,80,200,"Positive",146
40,500,100,200,"Positive",147
60,500,80,200,"Positive",148
60,500,100,200,"Positive",149
80,500,100,200,"Positive",150
20,200,40,100,"Uniform",151
20,200,60,100,"Uniform",152
20,200,80,100,"Uniform",153
20,200,100,100,"Uniform",154
40,200,60,100,"Uniform",155
40,200,80,100,"Uniform",156
40,200,100,100,"Uniform",157
60,200,80,100,"Uniform",158
60,200,100,100,"Uniform",159
80,200,100,100,"Uniform",160
20,300,40,100,"Uniform",161
20,300,60,100,"Uniform",162
20,300,80,100,"Uniform",163
20,300,100,100,"Uniform",164
40,300,60,100,"Uniform",165
40,300,80,100,"Uniform",166
40,300,100,100,"Uniform",167
60,300,80,100,"Uniform",168
60,300,100,100,"Uniform",169
80,300,100,100,"Uniform",170
20,300,40,200,"Uniform",171
20,300,60,200,"Uniform",172
20,300,80,200,"Uniform",173
20,300,100,200,"Uniform",174
40,300,60,200,"Uniform",175
40,300,80,200,"Uniform",176
40,300,100,200,"Uniform",177
60,300,80,200,"Uniform",178
60,300,100,200,"Uniform",179
80,300,100,200,"Uniform",180
20,400,40,100,"Uniform",181
20,400,60,100,"Uniform",182
20,400,80,100,"Uniform",183
20,400,100,100,"Uniform",184
40,400,60,100,"Uniform",185
40,400,80,100,"Uniform",186
40,400,100,100,"Uniform",187
60,400,80,100,"Uniform",188
60,400,100,100,"Uniform",189
80,400,100,100,"Uniform",190
20,400,40,200,"Uniform",191
20,400,60,200,"Uniform",192
20,400,80,200,"Uniform",193
20,400,100,200,"Uniform",194
40,400,60,200,"Uniform",195
40,400,80,200,"Uniform",196
40,400,100,200,"Uniform",197
60,400,80,200,"Uniform",198
60,400,100,200,"Uniform",199
80,400,100,200,"Uniform",200
20,400,40,300,"Uniform",201
20,400,60,300,"Uniform",202
20,400,80,300,"Uniform",203
20,400,100,300,"Uniform",204
40,400,60,300,"Uniform",205
40,400,80,300,"Uniform",206
40,400,100,300,"Uniform",207
60,400,80,300,"Uniform",208
60,400,100,300,"Uniform",209
80,400,100,300,"Uniform",210
20,500,40,100,"Uniform",211
20,500,60,100,"Uniform",212
20,500,80,100,"Uniform",213
20,500,100,100,"Uniform",214
40,500,60,100,"Uniform",215
40,500,80,100,"Uniform",216
40,500,100,100,"Uniform",217
60,500,80,100,"Uniform",218
60,500,100,100,"Uniform",219
80,500,100,100,"Uniform",220
20,500,40,200,"Uniform",221
20,500,60,200,"Uniform",222
20,500,80,200,"Uniform",223
20,500,100,200,"Uniform",224
40,500,60,200,"Uniform",225
40,500,80,200,"Uniform",226
