sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
11,36,Positive,333390,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1BNR1ZAF1QGWG,c5agk8iwt0r4quxr,19:17:21 Tue 01 Sep 15,68.195.42.27
12,23,Both,346910,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",AQ277F26ZFB1K,ih1dmfczv5g,19:17:26 Tue 01 Sep 15,107.145.235.90
13,28,Uniform,356681,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2P6VK1US8OTC5,sv16tzzxnwl2qpvi,19:17:40 Tue 01 Sep 15,71.13.60.106
14,88,Uniform,277972,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A2ZRF4I5RTKN7G,5qn2vb67vlr,19:17:40 Tue 01 Sep 15,73.8.58.17
15,10,Uniform,373785,"Mozilla/5.0 (Windows NT 6.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A18B016RYNKY3U,q0oys1kjpuv7vi,19:17:42 Tue 01 Sep 15,97.85.68.177
16,74,Both,313244,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A35BQPABKN4Q8C,dfx7v8swgf9io1or,19:17:45 Tue 01 Sep 15,172.90.176.38
17,93,Positive,268837,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2Q0G312LESWK7,29pzywrb1fc4n29,19:17:45 Tue 01 Sep 15,70.190.166.156
18,18,Positive,378112,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AOO39X8E3OJYY,8tqhqr7gnb384cxr,19:17:50 Tue 01 Sep 15,98.196.197.236
19,7,Uniform,390989,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",A40W0EWYGHNV0,9gqvyacol5t2csor,19:17:56 Tue 01 Sep 15,160.36.72.59
20,89,Both,290498,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",ALEJV7D94ZLHF,wz4idpae1nh,19:17:56 Tue 01 Sep 15,24.251.121.150
21,82,Uniform,319165,"Mozilla/5.0 (X11 CrOS x86_64 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36",A1ONILGBGJ8Y5K,n86u1g6321sv2t9,19:18:09 Tue 01 Sep 15,71.90.43.25
22,48,Positive,371942,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",ATJFUHXPYHISH,l5g8cu6ubl,19:18:10 Tue 01 Sep 15,24.47.176.136
23,76,Uniform,339354,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36",A339I8W36KWS4Q,eq4xta9jg611yvi,19:18:14 Tue 01 Sep 15,99.18.20.254
24,64,Uniform,383332,"Mozilla/5.0 (Macintosh Intel Mac OS X 10.9 rv:38.0) Gecko/20100101 Firefox/38.0",A32QJF67JMJFKX,bs7qmoeg0b,19:18:41 Tue 01 Sep 15,50.180.51.38
25,67,Uniform,379852,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1W2G1N4BDF2DW,vpigp4d3mu7919k9,19:18:43 Tue 01 Sep 15,76.29.133.151
26,22,Uniform,434893,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A356795ET25HER,neof68x39qwwxw29,19:18:54 Tue 01 Sep 15,108.249.89.113
27,79,Uniform,378861,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",AAS0V105QISPM,sv6nixnf9o,19:18:56 Tue 01 Sep 15,141.219.179.250
28,31,Uniform,439828,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A19WXS1CLVLEEX,sgl8zpeztvhg2e29,19:19:05 Tue 01 Sep 15,75.183.23.232
29,71,Both,407825,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3579N2TITA69M,pzd3p2o0njw0zfr,19:19:18 Tue 01 Sep 15,75.135.71.165
30,13,Uniform,468150,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A38HODAQUKJKKS,m0o82gcw1zx8byb9,19:19:19 Tue 01 Sep 15,75.137.234.236
31,120,Positive,187850,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2V9WQ4ZG1NUNP,idj65lihnp0evcxr,19:19:30 Tue 01 Sep 15,71.61.215.224
32,73,Uniform,419448,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1KFGU5623A7H,v0dwue0qkaa,19:19:31 Tue 01 Sep 15,162.200.49.7
33,32,Both,469684,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3AIX82WZQZB5A,hgdrw8q18sg,19:19:35 Tue 01 Sep 15,98.236.165.134
34,109,Uniform,336155,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1XLGIFFGB01EU,w0ft8vh6w0nc23xr,19:19:46 Tue 01 Sep 15,24.7.129.13
35,66,Positive,440402,"Mozilla/5.0 (Windows NT 6.2 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3O81LHBBI8NPK,7aaukoxdtx,19:19:46 Tue 01 Sep 15,72.22.126.30
36,43,Uniform,483788,"Mozilla/5.0 (Windows NT 6.3 Trident/7.0 Touch .NET4.0E .NET4.0C .NET CLR 3.5.30729 .NET CLR 2.0.50727 .NET CLR 3.0.30729 Tablet PC 2.0 GWX:QUALIFIED rv:11.0) like Gecko",A2Y5DDEPG81LLJ,h4xf13dv4qrz,19:19:59 Tue 01 Sep 15,174.54.232.47
37,83,Both,434243,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A2T5CROJ0FWIJY,yivyuh6hpqo,19:20:07 Tue 01 Sep 15,107.5.78.230
38,85,Uniform,433547,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1ZR0Q2OUOLW51,1m2ewimn53ik9,19:20:07 Tue 01 Sep 15,184.196.244.98
39,72,Positive,456754,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A2BNOEYZ3VRW2R,9w5ogoxwh26,19:20:09 Tue 01 Sep 15,99.13.249.205
40,46,Uniform,511058,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3NG6M8UG9U20J,9zjqf49svm7mygb9,19:20:29 Tue 01 Sep 15,98.202.225.215
41,121,Uniform,252202,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3I1W58P6SIV26,igq8x7mjs47bke29,19:20:37 Tue 01 Sep 15,71.61.215.224
42,87,Positive,461435,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2F79GFUWU5O96,gu1j99dcwbqpvi,19:20:39 Tue 01 Sep 15,68.121.255.154
43,108,Positive,398109,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2DPKKEEW2I6QK,udzwauzsbrzfr,19:20:42 Tue 01 Sep 15,96.251.123.74
44,2,Both,563820,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",ACNID00UIEL1T,8iy00ygxwgd,19:20:42 Tue 01 Sep 15,68.185.211.35
