sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
69,79,Uniform,485102,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",5588cc47fdf99b304ee565c9,6HFVEW46,19:46:15 Wed 02 Sep 15,201.167.91.190
70,72,Positive,584845,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",558a2923fdf99b2d7699ab6d,6HFVEW46,19:46:35 Wed 02 Sep 15,98.246.242.119
71,66,Positive,668487,"Mozilla/5.0 (Linux Android 5.0.1 HTC One_M8 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",55117d8dfdf99b6593ea5236,6HFVEW46,19:46:40 Wed 02 Sep 15,92.232.60.79
72,57,Positive,784279,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55d352f4da14d700109533c5,6HFVEW46,19:47:11 Wed 02 Sep 15,92.30.24.190
73,87,Positive,457251,"Mozilla/5.0 (Windows NT 10.0 WOW64 Trident/7.0 .NET4.0C .NET4.0E .NET CLR 2.0.50727 .NET CLR 3.0.30729 .NET CLR 3.5.30729 rv:11.0) like Gecko",55e696fc41988f001275cd80,6HFVEW46,19:47:19 Wed 02 Sep 15,151.225.69.5
74,2,Both,1005724,"Mozilla/5.0 (Windows NT 6.1 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.78 Safari/537.36",545eb0e5fdf99b7f9fca2548,6HFVEW46,19:47:39 Wed 02 Sep 15,197.237.253.104
75,40,Uniform,952382,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",559faac1fdf99b69f820f0d7,6HFVEW46,19:47:43 Wed 02 Sep 15,175.101.14.236
76,108,Positive,243899,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",559def9cfdf99b3200d0479c,6HFVEW46,19:48:00 Wed 02 Sep 15,70.190.166.156
77,88,Uniform,526994,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55bbb3bdfdf99b2d4f2b8ceb,6HFVEW46,19:48:51 Wed 02 Sep 15,151.228.60.100
78,86,Both,571615,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",554d0b4dfdf99b759522e795,6HFVEW46,19:49:09 Wed 02 Sep 15,82.19.139.213
79,81,Positive,651779,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",555a3e90fdf99b10ecc8713a,6HFVEW46,19:49:25 Wed 02 Sep 15,176.25.189.179
80,115,Uniform,233590,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",559347f6fdf99b790feb6435,6HFVEW46,19:49:29 Wed 02 Sep 15,68.3.77.242
81,63,Positive,846424,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55d4b5e658c35800103dc022,6HFVEW46,19:49:31 Wed 02 Sep 15,164.107.169.133
82,96,Positive,505968,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",556e4e83fdf99b6d4a6a1382,6HFVEW46,19:50:05 Wed 02 Sep 15,73.159.126.232
83,109,Uniform,369068,"Mozilla/5.0 (Windows NT 6.1 WOW64 Trident/7.0 SLCC2 .NET CLR 2.0.50727 .NET CLR 3.5.30729 .NET CLR 3.0.30729 Media Center PC 6.0 .NET4.0C .NET4.0E MS-RTC LM 8 InfoPath.3 rv:11.0) like Gecko",559146cbfdf99b1e5d8ea328,6HFVEW46,19:50:17 Wed 02 Sep 15,158.111.236.185
84,91,Uniform,574841,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55945cb0fdf99b5f100b3ebb,6HFVEW46,19:50:20 Wed 02 Sep 15,77.97.55.54
85,75,Positive,759512,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:39.0) Gecko/20100101 Firefox/39.0",5543e09cfdf99b04c4af5fcb,6HFVEW46,19:50:22 Wed 02 Sep 15,72.208.165.111
86,74,Both,780935,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55b9b38cfdf99b699f5193bf,6HFVEW46,19:50:23 Wed 02 Sep 15,96.247.122.250
87,110,Both,384389,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",55e7408b41988f001275d35f,6HFVEW46,19:50:50 Wed 02 Sep 15,90.196.225.108
88,85,Uniform,720446,"Mozilla/5.0 (Linux U Android 4.2.2 en-us SM-T110 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",559c31acfdf99b2189ee8124,6HFVEW46,19:51:14 Wed 02 Sep 15,129.117.14.5
89,111,Positive,407216,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",555910d1fdf99b15c6112eb7,6HFVEW46,19:51:22 Wed 02 Sep 15,209.197.20.241
90,65,Both,957934,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5559ece3fdf99b6bb084b07e,6HFVEW46,19:51:26 Wed 02 Sep 15,90.218.102.83
91,124,Uniform,240711,"Mozilla/5.0 (Windows NT 6.1 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2498.0 Safari/537.36",55e6b59641988f001075cb68,6HFVEW46,19:51:30 Wed 02 Sep 15,43.226.27.77
92,112,Uniform,417212,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55a06b7afdf99b26ce7c5582,6HFVEW46,19:51:41 Wed 02 Sep 15,107.5.78.230
93,61,Uniform,994831,"Mozilla/5.0 (iPad CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",55ad5706fdf99b649ca5a47c,6HFVEW46,19:51:54 Wed 02 Sep 15,94.173.108.110
94,102,Positive,538272,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5542ab3ffdf99b0768bb7090,6HFVEW46,19:51:59 Wed 02 Sep 15,81.100.245.157
95,80,Both,822410,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55aeaeb3fdf99b5c769f1f7c,6HFVEW46,19:52:13 Wed 02 Sep 15,198.176.80.33
96,90,Positive,716091,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55cf7e8b34e906000ee56498,6HFVEW46,19:52:30 Wed 02 Sep 15,146.200.96.80
97,94,Uniform,662554,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5588d01bfdf99b304dd47ced,6HFVEW46,19:52:38 Wed 02 Sep 15,74.4.181.87
98,95,Both,689232,"Mozilla/5.0 (Windows NT 6.2 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",55e3598dc70c7a00112a5b10,6HFVEW46,19:53:06 Wed 02 Sep 15,142.197.199.3
99,98,Both,675203,"Mozilla/5.0 (Macintosh Intel Mac OS X 10.10 rv:40.0) Gecko/20100101 Firefox/40.0",5589541bfdf99b6bd0601674,6HFVEW46,19:53:06 Wed 02 Sep 15,68.119.204.235
100,101,Both,640810,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55d4c54558c35800103dc0d7,6HFVEW46,19:53:13 Wed 02 Sep 15,184.177.1.137
101,130,Uniform,264071,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",545ccd3efdf99b75ad2e325c,6HFVEW46,19:53:21 Wed 02 Sep 15,198.103.161.1
102,106,Uniform,582469,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55aa47b2fdf99b4b4b778f03,6HFVEW46,19:53:28 Wed 02 Sep 15,88.104.247.100
103,105,Positive,621805,"Mozilla/5.0 (Windows NT 6.1 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",559369a7fdf99b78e49c58a8,6HFVEW46,19:53:36 Wed 02 Sep 15,119.74.228.16
